file	before_sha256	after_sha256	pixel_changes	difference_bbox
settings-center--theme-honey--density-spacious--viewport-minimum.png	0907b77031515501e0da49f64be51a7bf5fcd9c2664d23af1dc5e332524a5a07	23d6484e6d97db7bbc026325c079d110da9d66db0865164250636dc7ff3dd9bd	29	(199, 192, 204, 199)
settings-center--theme-honey--density-spacious--viewport-standard.png	649afa03bb7283f393509dd2f50c410200747ea00f468b8729665deafc355410	4c8730173d14846af03d450d9958734ea18a34f71d4556f7e9b9907fb80446ce	34	(199, 233, 204, 241)
settings-center--theme-honey--density-standard--viewport-minimum.png	a35d109300fb339680856cce3862bd9c4ff1d733c8374913d983480a4f8c5723	6312ecd87bfcd5467fe5f9b1e990a117517abcaf91a1e99235c25b9a95b22e11	29	(199, 203, 204, 210)
settings-center--theme-honey--density-standard--viewport-standard.png	ff277df0e25e1d8d56aa758196b37a10e6fe13766ca4929eded9ce068e5c3686	f4e689adaa869c0eec7a69362a073948d097c4c291117a8084f8db44bcddd533	39	(199, 248, 204, 257)
settings-center--theme-midnight--density-compact--viewport-minimum.png	933e9a595cc0e85ea8ac7b35c96d77c14b173a97277422cb12270bc6c00cc6ab	dd77d7093ea78eb379af97fe289893d722db254602ac2d84f507a6ff950147b1	29	(199, 213, 204, 220)
settings-center--theme-midnight--density-compact--viewport-standard.png	7b1e7dfe510849e90002ac7ff080c976ebf6ce23b10c47c3e1b8d32182db64c9	9041e4c37bc54623b437b938fdf00d177f718cff4f6364aa4a80590d7cbfb15e	39	(199, 262, 204, 271)
settings-center--theme-midnight--density-spacious--viewport-minimum.png	c7bd91e7fa7088a8df66f6679456a88f76d5438c2ec1329bd4f3d70470812046	43f4c3a579defff65187ed0d18b2a35efa5a2893af3b2b25fe2e7a2802958d0d	29	(199, 192, 204, 199)
settings-center--theme-midnight--density-spacious--viewport-standard.png	352a40264af88eb76e623177e333ca48d15ddef85deb477b3cfdf16a99c9b3eb	aa844d75dea2f6b86bb5b362b50caddbbfa976ef2e8cb00b5be564117126324c	34	(199, 233, 204, 241)
settings-center--theme-midnight--density-standard--viewport-minimum.png	26ff519d313e116fea76315ca474fbe4929a5567829df95521f418fd19c7c305	a294bfe8636fc150e866553bac1e8d3637fc96b8586af0f1cccd7cfb55b04218	29	(199, 203, 204, 210)
settings-center--theme-midnight--density-standard--viewport-standard.png	111a30dd24ed554b197b8f7ea8437684f70c25963f0f4065a8a13d6ed7f34d00	060695ad55f2bd58139be19af99347f09641f85e7577b55fac2e8cec526d6856	39	(199, 248, 204, 257)
settings-center--theme-ocean--density-compact--viewport-minimum.png	c676c378edfa5fa3362cec23229d74f7a4dd048f51ef3e93cfa7f257284411a2	463af0385ea8447b11e7dc8c09cfe407b377946dfe0c670538d008afd1cb538c	29	(199, 213, 204, 220)
settings-center--theme-ocean--density-compact--viewport-standard.png	181ebf26143f8f0db799f579d87d5ea8775dd0678d37b34c873881ffe087200d	dc458b1aab57f9829759f1977b4f03e7e096e12c51571a7b4a808e0c3890e44f	39	(199, 262, 204, 271)
settings-center--theme-ocean--density-spacious--viewport-minimum.png	ff036bfa499357fe1dc0ddeddb20a9c7d82ad63950c17b10a71f44ff7c907a5e	803253971107f4c72acd36c2e28817890a13f18451f0bb059312bc8ad623e397	29	(199, 192, 204, 199)
settings-center--theme-ocean--density-spacious--viewport-standard.png	a2b0b5c132590b5562a988395301de66184eb3677926a32f16d709399be4a913	09aa90c5fb123bd8f77750b4da4cce4daa28b5e41afc6b44ca1efd4290840cba	34	(199, 233, 204, 241)
settings-center--theme-ocean--density-standard--viewport-minimum.png	dc48dc05609211d8ba925f6e126e4bc48941138540504d875aca531d10651d18	40bd0ebcc16dd0d995a6b7d5abb1811ef441c96f7981f5e98970cb80f61ed9d1	29	(199, 203, 204, 210)
settings-center--theme-ocean--density-standard--viewport-standard.png	d10082c91211d8cef399ae50f3e623186565da02b0a8c0d1c1bb09b9bde43941	0924ca464b345b62513af2b5355bbeb75a23a64197405c4d055000c2a537bbf7	39	(199, 248, 204, 257)
settings-center--theme-plum--density-compact--viewport-minimum.png	8bee357dc6d243781750f721ce73f0ed8863c50f9b266df1686a2b2eb6ac7987	52a87b9a623431963a0efbde632af6e891c74d121d678702efc0bb0591e7c31f	29	(199, 213, 204, 220)
settings-center--theme-plum--density-compact--viewport-standard.png	f810b48cf92aea0e5c1df57305181cd23f004cc06aa085f24a13744dd00fcc2a	0560a2ab5eab76210a90f488a157b08a72864bb20d31706afb7bcc1d23efc671	39	(199, 262, 204, 271)
settings-center--theme-plum--density-spacious--viewport-minimum.png	413e78ef38b4ec756aa342932fc74a03592dd3141acdf9948966d01c18babb7b	9275b05f2dec498b1b1c815468e96b68ebc686cb87ce9b56e34c25aefbe4cc8e	29	(199, 192, 204, 199)
settings-center--theme-plum--density-spacious--viewport-standard.png	e27206e1a502915e3f7cdaf7180597e1309e3e1efdd65b24845f9fdbeb3b27f9	c729c3d97c25dfe32d18b182f959f7cf1bdb90565a0136a00df073dd93bae1f4	34	(199, 233, 204, 241)
settings-center--theme-plum--density-standard--viewport-minimum.png	9bfe1432964522151cfa1d7c5913ffb66d3269729ecebb5861ae9db4d30564b0	6e2291358315feb6eb355117578d30014f0a14dbd7ef450407c5eb56eed697ef	29	(199, 203, 204, 210)
settings-center--theme-plum--density-standard--viewport-standard.png	45decbdeec1eb7a041fd10c9a6770f5ae42f0d049b7c28012c0e92290ee582d3	1300f9b5cfd91079ee799fa9e357a23b8841476cd41a6687b9090b95443c9abb	39	(199, 248, 204, 257)
settings-center--theme-sapphire--density-compact--viewport-minimum.png	132cdde008cc9be5e8d0088a885c08553711a200a82d0234264cbc110c62a3de	f3d0828c79d140c1e4a9706a15176f06e2634ca44ea17aaf58e3f0e1f1e90ca4	29	(199, 213, 204, 220)
settings-center--theme-sapphire--density-compact--viewport-standard.png	4b260f5ea13086fbd773aea7f588b5ff753e6238e25e91023785e842c3cbce9d	9c4e4a22970803bca0e7243bb37fd3bb3527166db8a44229d4dacd9c16ec2717	39	(199, 262, 204, 271)
settings-center--theme-sapphire--density-spacious--viewport-minimum.png	fc0bc362cddc314d3f959a6729b37307331adea56fe9fcc597169785b873f75e	9e1e978b9e3ed4f1c68013ca7bb63ceef87109b64b82d261da648e06816d99d9	29	(199, 192, 204, 199)
settings-center--theme-sapphire--density-spacious--viewport-standard.png	305c5c5623a357e60ea6f6e9490d19260875dc14d468eb4b634241a45e218f0a	1c9fef3e00d81d5ac26d75859317667f3e4878e315fe2365b445a0f130fdc398	34	(199, 233, 204, 241)
settings-center--theme-sapphire--density-standard--viewport-minimum.png	3e0ffd74ff0f6688340c1cbc83a937a1ac37b9920da56194854e9dca2a203071	a6ec17264655cdeca944dabbadeb958812b9513a8b4ddd8a3bbcec245b1d0798	29	(199, 203, 204, 210)
settings-center--theme-sapphire--density-standard--viewport-standard.png	29e65a3f4d6a65b75b33c35253e6568b17330717bccd98a3bf21ce0fd71ce236	9a5f0b8a0398d50cf9190f03ccefecdcc460e28d8870d5b4f498228e1b08f037	39	(199, 248, 204, 257)
settings-center--theme-terracotta--density-compact--viewport-minimum.png	e7eb99308c6bc46ce18494738fc867e515691c4f0f1414629a11cf301d01c25c	1bc0e3bc8dd5cdcb252468c3b8453d72830d88f53c1b4f8a647684525df5e71f	29	(199, 213, 204, 220)
settings-center--theme-terracotta--density-compact--viewport-standard.png	158168635cd4d3c3db3ca3774e843637bf2f674ac25599998a80473923e65ed3	aafc4f936f494957c93fdf0a4967b114620eb1e547157ac5653a1175f16170d1	39	(199, 262, 204, 271)
settings-center--theme-terracotta--density-spacious--viewport-minimum.png	7b85ee541fb1b2926486161ab717b7833584fe7c7694adefd0e201a675fa266e	88e476949ae40c79b8e63278758ce007aa1b1062c034f130f6566b36c895db42	29	(199, 192, 204, 199)
settings-center--theme-terracotta--density-spacious--viewport-standard.png	d0e9bfa359ce2b0a770c8e90cd3a4702f14eb11bb93ef5f6f77b3f9941a9d2b7	4c62cf150c7013ec74816e3847c92ff702aa2e438838069bb64ee35a61d6f1a7	34	(199, 233, 204, 241)
settings-center--theme-terracotta--density-standard--viewport-minimum.png	105c45ef37b4c1a181d1c4869575ca58964e54539c01cfa010d4b2fc6f5f6df8	34a1b60d2462e5ea4371720331d8d0029ebc01dad98016091617c32806391a90	29	(199, 203, 204, 210)
settings-center--theme-terracotta--density-standard--viewport-standard.png	a551a98e19e23cf4a15b88b37a92bcf42695112937e6b294fdc44307cd22253b	51d0b42c41609220d12c6573bce21baef9f8610343642c255e4104c8f15190eb	39	(199, 248, 204, 257)
